1: 	1236200088
2: 	1026248297
3: 	1338433878
4: 	1030012326
5: 	1360589527
6: 	1251995644
7: 	1085627194
8: 	1169834440
9: 	1155144191
10: 	1319574073
11: 	1064560946
12: 	1057961174
13: 	1165514530
14: 	1338857213
15: 	1114181650
16: 	1221653416
17: 	1086515325
18: 	1281951372
19: 	1275974866
20: 	1374433006
21: 	1273527360
22: 	1368471643
23: 	1000637467
24: 	1361364111
25: 	1017114952
26: 	1401460960
27: 	1304724056
28: 	1016452934
29: 	1022310883
30: 	1119237306
31: 	1169943630
32: 	1258510972
33: 	1145485604
34: 	1098312100
35: 	1288523298
36: 	1096009724
37: 	1350307745
38: 	1374150493
39: 	1265844165
40: 	1095386528
41: 	1283659159
42: 	1330405111
43: 	1153347703
44: 	1039108281
45: 	1259196916
46: 	1267529353
47: 	1260761698
48: 	1345712241
49: 	1139415317
50: 	1126671156
51: 	1310079840
52: 	1002877270
53: 	1085077392
54: 	1310717307
55: 	1364241382
56: 	1102192345
57: 	1302112860
58: 	1258900030
59: 	1118645279
60: 	1324423744
61: 	1378137337
62: 	1288588909
63: 	1172869308
64: 	1113557534
65: 	1386901010
66: 	1051327199
67: 	1209567259
68: 	1327143348
69: 	1015412285
70: 	1065346016
71: 	1012464469
72: 	1299071444
73: 	1395751128
74: 	1165812172
75: 	1338179726
76: 	1244882637
77: 	1023276118
78: 	1188876016
79: 	1180529471
80: 	1162691435
81: 	1315547173
82: 	1080543903
83: 	1165568706
84: 	1400624566
85: 	1391261210
86: 	1119744680
87: 	1092751503
88: 	1283308662
89: 	1378644711
90: 	1211396782
91: 	1197666998
92: 	1346716641
93: 	1089920284
94: 	1370536307
95: 	1050208767
96: 	1066755886
97: 	1011798098
98: 	1259776027
99: 	1393899234
100: 	1027210384
101: 	1325122043
102: 	1406363703
103: 	1326281828
104: 	1310807764
105: 	1162110467
106: 	1254396147
107: 	1145624993
108: 	1185386586
109: 	1033206756
110: 	1326154464
111: 	1348078022
112: 	1348753930
113: 	1406698367
114: 	1103581320
115: 	1339313088
116: 	1387894170
117: 	1223326001
118: 	1021999183
119: 	1261137424
120: 	1191905304
121: 	1233395965
122: 	1048739015
123: 	1128556538
124: 	1323316249
125: 	1009209914
126: 	1178765305
127: 	1390072136
128: 	1021008013
